0.00	X
0.10	B
0.41	C
0.48	A
0.56	E
0.70	B
0.77	C
0.84	B
1.61	C
1.68	B
1.82	C
1.89	B
2.45	X
3.79	B
3.84	C
3.89	B
3.96	F
4.03	D
4.24	B
4.38	G
4.45	E
4.59	A
4.67	B
4.88	C
4.95	A
5.04	E
5.13	B
5.73	F
5.80	A
5.87	C
6.02	B
6.09	C
6.16	B
6.30	A
6.38	C
6.45	B
6.52	A
6.65	B
6.69	D
6.73	A
6.81	B
7.16	H
7.30	C
7.51	B
7.94	F
8.20	B
8.55	C
8.69	B
8.76	A
8.84	C
8.89	B
9.08	X
9.63	B
9.76	C
9.83	B
9.90	C
10.18	B
10.32	C
10.39	B
10.46	C
10.60	A
10.68	E
10.86	C
10.93	B
11.00	E
11.28	C
11.35	B
11.63	G
11.70	C
11.77	B
11.84	E
12.05	B
12.19	C
12.26	B
12.47	H
12.54	C
12.61	B
12.68	G
12.75	B
12.89	X
13.32	C
13.69	B
13.79	F
13.86	C
13.93	A
14.01	H
14.19	C
14.26	B
14.61	C
14.75	A
14.83	F
14.94	B
15.01	C
15.15	B
15.22	A
15.30	F
15.48	G
15.55	B
15.97	E
16.18	B
16.25	A
16.33	D
16.48	C
16.52	B
16.78	D
16.85	A
16.93	B
17.19	C
17.33	B
17.47	X
18.26	C
18.64	B
18.71	F
18.85	C
19.27	B
19.47	A
19.55	B
19.87	C
20.01	B
20.22	C
20.36	B
20.43	C
20.57	B
20.85	C
20.92	E
21.13	F
21.20	B
21.27	C
21.41	E
21.76	B
21.90	E
21.97	B
22.18	D
22.39	C
22.53	G
22.67	C
22.74	B
23.17	G
23.22	E
23.33	C
23.49	B
23.61	X
23.87	B
24.03	X
24.16	B
24.23	F
24.36	E
24.78	B
24.99	X
25.26	B
25.54	C
25.79	B
26.00	F
26.07	B
26.28	A
26.36	C
26.44	F
26.51	E
26.65	H
26.72	B
27.07	C
27.14	B
27.28	A
27.36	B
27.57	C
27.64	B
27.92	C
28.06	B
28.34	X
28.72	A
28.84	C
29.02	B
29.09	C
29.16	B
29.23	C
29.30	B
29.72	C
29.79	B
30.00	A
30.08	C
30.29	B
30.43	E
30.50	F
30.57	G
30.64	E
30.78	C
31.07	F
31.11	C
31.22	B
31.50	C
31.78	B
31.85	C
31.99	E
32.06	B
32.20	E
32.34	B
32.48	A
32.59	B
32.67	G
32.74	B
33.16	X
35.29	B
35.36	E
35.50	C
35.57	B
35.64	F
35.71	B
35.78	C
35.85	B
35.92	C
36.06	B
36.48	C
36.55	B
36.90	C
37.04	B
37.23	C
37.32	G
37.39	B
37.67	E
37.74	B
38.28	C
38.32	B
38.36	C
38.50	G
38.57	B
38.78	A
38.86	C
39.05	B
39.33	C
39.40	G
39.47	C
39.61	B
40.13	F
40.31	E
40.52	F
40.59	B
40.66	C
41.08	X
41.47	B
41.53	C
41.59	E
41.66	B
41.80	F
41.94	B
42.08	E
42.43	F
42.50	A
42.58	X
44.35	B
44.70	X
44.83	B
44.88	C
44.92	G
44.99	E
45.13	B
45.32	C
45.44	B
45.93	E
46.07	B
46.21	X
47.05	B
47.16	F
47.23	B
47.44	E
47.51	F
47.58	A
47.68	C
47.80	B
48.15	D
48.29	C
48.36	A
48.48	E
48.53	B
49.05	A
49.17	C
49.24	B
49.66	C
49.73	G
49.80	C
49.87	B
50.01	C
50.22	X
50.83	B
50.88	C
50.92	B
51.13	G
51.27	C
51.34	B
51.48	C
51.69	G
51.76	B
51.83	C
51.90	B
52.32	A
52.40	B
52.46	C
52.52	E
52.73	B
52.80	X
53.49	B
53.65	E
53.86	B
53.93	C
54.00	B
54.14	G
54.21	B
54.28	C
54.35	E
54.49	F
54.77	B
54.84	G
54.98	C
55.05	B
55.19	A
55.27	B
55.35	C
55.42	H
55.56	G
55.70	B
56.26	C
56.40	B
56.54	X
57.97	B
58.08	G
58.15	C
